id1,id2,tag,tag_counts,selfpairs,DegreePercentile1,DegreePercentile2,DegreePercentileProduct
RHODE_ISLAND,SOUTH_CAROLINA,RHODE_ISLAND_SOUTH_CAROLINA,1,0,0.270833333333333,0.0833333333333334,0.00106619989775458
KANSAS,MAINE,KANSAS_MAINE,1,0,0.479166666666667,0.0208333333333334,0.00121241055282294
TEXAS,WASHINGTON,TEXAS_WASHINGTON,1,0,0.479166666666667,0.0833333333333334,0.0243601381760067
OREGON,SOUTH_CAROLINA,OREGON_SOUTH_CAROLINA,1,0,0.479166666666667,0.0833333333333334,0.046550723047322
FLORIDA,LOUISIANA,FLORIDA_LOUISIANA,1,0,0.0833333333333334,0.270833333333333,0.0515809280352635
CALIFORNIA,CONNECTICUT,CALIFORNIA_CONNECTICUT,1,0,0.270833333333333,0.270833333333333,0.06161171220863
NEW_JERSEY,NORTH_CAROLINA,NEW_JERSEY_NORTH_CAROLINA,1,0,0.270833333333333,0.479166666666667,0.0701230918796124
FLORIDA,WISCONSIN,FLORIDA_WISCONSIN,1,0,0.0833333333333334,0.479166666666667,0.0703498763605424
CALIFORNIA,DELAWARE,CALIFORNIA_DELAWARE,1,0,0.270833333333333,0.270833333333333,0.0711052102231674
KANSAS,WASHINGTON,KANSAS_WASHINGTON,1,0,0.479166666666667,0.0833333333333334,0.0766097557251303
NEW_JERSEY,RHODE_ISLAND,NEW_JERSEY_RHODE_ISLAND,1,0,0.270833333333333,0.270833333333333,0.0841932078609304
NEW_JERSEY,VERMONT,NEW_JERSEY_VERMONT,1,0,0.270833333333333,0.270833333333333,0.0941190833450379
NEW_HAMPSHIRE,NORTH_DAKOTA,NEW_HAMPSHIRE_NORTH_DAKOTA,1,0,0.270833333333333,0.270833333333333,0.0961682212686603
CALIFORNIA,RHODE_ISLAND,CALIFORNIA_RHODE_ISLAND,1,0,0.270833333333333,0.270833333333333,0.0964361119056311
MISSISSIPPI,NORTH_DAKOTA,MISSISSIPPI_NORTH_DAKOTA,1,0,0.479166666666667,0.270833333333333,0.104212350497974
NEW_HAMPSHIRE,TEXAS,NEW_HAMPSHIRE_TEXAS,1,0,0.270833333333333,0.479166666666667,0.105264037970737
CONNECTICUT,KANSAS,CONNECTICUT_KANSAS,1,0,0.270833333333333,0.479166666666667,0.107408725171039
ALABAMA,DELAWARE,ALABAMA_DELAWARE,1,0,0.479166666666667,0.270833333333333,0.12486488027848
